recipe_id,category_id,category_name,map_amperage,eut,duration,tier,special,fake,hidden,disabled
289543,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289544,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289545,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289546,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289547,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289548,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289549,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289550,gt.recipe.assembler,组装机,1,120,3200,MV,,,,
289551,gt.recipe.assembler,组装机,1,4,50,ULV,,,,
289552,gt.recipe.assembler,组装机,1,4,50,ULV,,,,
289553,gt.recipe.assembler,组装机,1,4,50,ULV,,,,
289554,gt.recipe.assembler,组装机,1,4,50,ULV,,,,
289555,gt.recipe.assembler,组装机,1,4,50,ULV,,,,
289556,gt.recipe.assembler,组装机,1,4,50,ULV,,,,
289557,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289558,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289559,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289560,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289561,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289562,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289563,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289564,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289565,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289566,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289567,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289568,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289569,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289570,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289571,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289572,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289573,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289574,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289575,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289576,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289577,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289578,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289579,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289580,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289581,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289582,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289583,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289584,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289585,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289586,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289587,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289588,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289589,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289590,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289591,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289592,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289593,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289594,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289595,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289596,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289597,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289598,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289599,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289600,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289601,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289602,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289603,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289604,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289605,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289606,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289607,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289608,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289609,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289610,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289611,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289612,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289613,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289614,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289615,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289616,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289617,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289618,gt.recipe.assembler,组装机,1,491520,64,UV,,,,
289619,gt.recipe.assembler,组装机,1,491520,64,UV,,,,
289620,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289621,gt.recipe.assembler,组装机,1,30720,64,LuV,,,,
289622,gt.recipe.assembler,组装机,1,1966080,64,UHV,,,,
289623,gt.recipe.assembler,组装机,1,7864320,64,UEV,,,,
289624,gt.recipe.assembler,组装机,1,503316480,64,UXV,,,,
289625,gt.recipe.assembler,组装机,1,125829120,64,UMV,,,,
289626,gt.recipe.assembler,组装机,1,125829120,64,UMV,,,,
289627,gt.recipe.assembler,组装机,1,7864320,64,UEV,,,,
289628,gt.recipe.assembler,组装机,1,7864320,64,UEV,,,,
289629,gt.recipe.assembler,组装机,1,7864320,64,UEV,,,,
289630,gt.recipe.assembler,组装机,1,122880,64,ZPM,,,,
289631,gt.recipe.assembler,组装机,1,122880,64,ZPM,,,,
289632,gt.recipe.assembler,组装机,1,122880,64,ZPM,,,,
289633,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289634,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289635,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289636,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289637,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289638,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289639,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289640,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289641,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289642,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289643,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289644,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289645,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289646,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
289647,gt.recipe.assembler,组装机,1,7,64,ULV,,,,
